,Len,Indices
186,36,"[7425, 29978, 31269, 31515, 34415, 38616, 41348, 44207, 46966, 51100, 54685, 54790, 54893, 64938, 69955, 79242, 81370, 82051, 89504, 90561, 91800, 91853, 93015, 99496, 99604, 103743, 115606, 115903, 121527, 122956, 124233, 125522, 125544, 125738, 125976, 128519]"
187,6,"[7057, 44349, 47172, 82139, 101847, 119682]"
188,7,"[35875, 43322, 47670, 77794, 81073, 103386, 103930]"
189,8,"[60840, 71261, 87608, 93416, 108242, 111949, 116893, 123617]"
190,17,"[38256, 40829, 43120, 47538, 47742, 50392, 64105, 73188, 73247, 73480, 79167, 89536, 89965, 103271, 115717, 120145, 121564]"
191,13,"[3572, 3996, 13176, 24953, 29127, 46337, 56771, 76717, 77565, 78172, 88923, 124732, 132770]"
192,12,"[26658, 45062, 46174, 51501, 80451, 106099, 106795, 107771, 121605, 123774, 124574, 130104]"
193,3,"[3547, 48562, 86567]"
194,7,"[2564, 36959, 41316, 66102, 107426, 120058, 120861]"
195,10,"[42992, 46005, 48322, 51067, 58524, 77029, 112876, 118865, 120383, 130298]"
196,5,"[10029, 38987, 46295, 94567, 123887]"
197,15,"[17853, 30500, 39097, 41114, 63451, 70684, 73607, 73814, 82443, 84601, 90373, 93375, 113268, 123481, 125547]"
198,13,"[333, 28331, 35986, 49706, 55758, 65154, 84550, 90604, 103522, 103849, 108148, 109060, 132216]"
199,8,"[35451, 47018, 51245, 60805, 98246, 102138, 120937, 131296]"
200,5,"[53249, 68264, 75786, 106222, 124113]"
201,10,"[19855, 33705, 35701, 52240, 59865, 68184, 77175, 82879, 87764, 102882]"
202,4,"[40258, 53420, 77537, 121680]"
203,7,"[1061, 34764, 49883, 61902, 85441, 91192, 119059]"
204,10,"[33068, 48180, 58518, 69797, 75162, 79681, 114643, 115587, 120209, 132017]"
205,8,"[13536, 17741, 26646, 45256, 81209, 103698, 127278, 129598]"
206,6,"[8133, 17605, 30590, 31833, 31901, 52933]"
207,5,"[68182, 82005, 85764, 126176, 126650]"
208,6,"[36357, 40326, 83344, 106476, 122478, 124794]"
209,5,"[25018, 25472, 57988, 72116, 74430]"
210,5,"[6572, 28208, 61492, 79654, 122199]"
211,5,"[943, 10293, 32561, 34835, 128239]"
212,5,"[41854, 60203, 90811, 105505, 118171]"
213,18,"[4202, 14266, 17103, 21338, 24793, 33908, 44007, 54486, 55217, 70735, 72953, 77379, 94651, 100223, 114310, 115755, 118055, 131966]"
214,12,"[5911, 31050, 42841, 48007, 56441, 67838, 70975, 78600, 93893, 98752, 121464, 130602]"
215,6,"[902, 13759, 26206, 33747, 103889, 110314]"
216,17,"[1497, 5514, 6302, 11065, 12516, 30902, 46628, 46636, 46644, 65281, 91967, 94059, 115560, 117155, 117622, 123619, 130055]"
217,9,"[11629, 21315, 22393, 43142, 77018, 77579, 85541, 103559, 106905]"
218,28,"[2765, 3986, 13950, 20375, 23328, 27308, 38940, 42101, 54359, 59143, 66243, 70816, 76114, 76126, 77825, 79485, 81448, 81922, 85642, 85836, 88263, 109951, 112305, 113074, 118778, 119430, 121629, 129689]"
219,11,"[721, 9123, 28595, 36727, 56751, 63181, 68878, 105090, 106660, 121646, 131638]"
220,6,"[8347, 58386, 74991, 100149, 117273, 128407]"
221,5,"[49484, 64021, 85942, 103707, 132617]"
222,5,"[32386, 79892, 92694, 99497, 112342]"
223,9,"[11349, 19654, 22699, 31989, 40976, 56368, 63807, 99209, 118022]"
224,8,"[10544, 42153, 46885, 57682, 58113, 74601, 126481, 132286]"
225,9,"[3156, 22082, 34351, 59480, 72626, 92347, 98640, 117812, 118630]"
226,8,"[14582, 18516, 28711, 42005, 86150, 97657, 105097, 107619]"
227,6,"[4525, 34110, 52913, 78360, 87486, 97952]"
228,11,"[21295, 30257, 77707, 77918, 97276, 97502, 100402, 110146, 122909, 129609, 130483]"
229,12,"[2823, 16066, 34996, 36641, 49442, 59289, 60823, 83223, 90686, 96507, 118801, 127937]"
